eventType,homeTeam,visitingTeamOrDescription,startTime,endTime,googleEventId
Practice,VCB 15U A - Expos,Practice,04/12/2024 16:30:00,04/12/2024 18:15:00,
Practice,VCB 15U A - Blue Jays,Practice,04/12/2024 18:15:00,04/12/2024 20:00:00,
LeagueControlledGame,VCB 15U A - Giants,VCB 15U A Girls - Royals,04/15/2024 05:30:00,04/15/2024 08:00:00,
LeagueControlledGame,VCB 15U A - Rockies,VCB 15U A - Mariners,04/16/2024 17:30:00,04/16/2024 20:00:00,
TeamControlledGame,VCB Mounties 13U AAA,North Shore,04/17/2024 17:30:00,04/17/2024 20:30:00,
LeagueControlledGame,VCB 15U A - Tigers,VCB 15U A - Rangers,04/18/2024 17:30:00,04/18/2024 20:00:00,
LeagueControlledGame,VCB 15U A - Athletics,VCB 15U A - Blue Jays,04/19/2024 17:30:00,04/19/2024 20:00:00,
LeagueControlledGame,VCB 15U A - Tigers,VCB 15U A - Athletics,04/20/2024 11:30:00,04/20/2024 14:00:00,
LeagueControlledGame,VCB 15U A - Expos,VCB 15U A - Yankees,04/20/2024 14:30:00,04/20/2024 17:00:00,
LeagueControlledGame,VCB 15U A - Giants,VCB 15U A - Rockies,04/20/2024 17:30:00,04/20/2024 20:00:00,
LeagueControlledGame,VCB 15U A - Rangers,VCB 15U A - Red Sox,04/21/2024 11:30:00,04/21/2024 14:00:00,
LeagueControlledGame,VCB 15U A - Yankees,VCB 15U A - Mariners,04/21/2024 14:30:00,04/21/2024 17:00:00,
LeagueControlledGame,VCB 15U A - Athletics,VCB 15U A - Rockies,04/22/2024 17:30:00,04/22/2024 20:00:00,
LeagueControlledGame,VCB 15U A - Blue Jays,VCB 15U A - Tigers,04/23/2024 17:30:00,04/23/2024 20:00:00,
LeagueControlledGame,VCB 15U A - Expos,VCB 15U A - Red Sox,04/24/2024 17:30:00,04/24/2024 20:00:00,
TeamControlledGame,VCB Mounties 13U AA,Ladner,04/25/2024 17:30:00,04/25/2024 20:30:00,
LeagueControlledGame,VCB 15U A - Giants,VCB 15U A - Rangers,04/25/2024 17:30:00,04/25/2024 20:00:00,
LeagueControlledGame,VCB 15U A - Mariners,VCB 15U A Girls - Royals,04/26/2024 17:30:00,04/26/2024 20:00:00,
LeagueControlledGame,VCB 15U A - Yankees,VCB 15U A - Rockies,04/27/2024 11:30:00,04/27/2024 14:00:00,
LeagueControlledGame,VCB 15U A - Tigers,VCB 15U A - Expos,04/27/2024 14:30:00,04/27/2024 17:00:00,
LeagueControlledGame,VCB 15U A - Blue Jays,VCB 15U A - Giants,04/27/2024 17:30:00,04/27/2024 20:00:00,
LeagueControlledGame,VCB 15U A - Red Sox,VCB 15U A - Mariners,04/28/2024 14:30:00,04/28/2024 17:00:00,
LeagueControlledGame,VCB 15U A - Giants,VCB 15U A - Tigers,04/29/2024 17:30:00,04/29/2024 20:00:00,
LeagueControlledGame,VCB 15U A - Red Sox,VCB 15U A - Yankees,04/30/2024 17:30:00,04/30/2024 20:00:00,
LeagueControlledGame,VCB 15U A - Rangers,VCB 15U A Girls - Royals,05/01/2024 18:00:00,05/01/2024 20:30:00,
LeagueControlledGame,VCB 15U A - Mariners,VCB 15U A - Athletics,05/02/2024 18:00:00,05/02/2024 20:30:00,
LeagueControlledGame,VCB 15U A - Rockies,VCB 15U A - Blue Jays,05/03/2024 18:00:00,05/03/2024 20:30:00,
