eventType,homeTeam,visitingTeamOrDescription,startTime,endTime,googleEventId
Game,VCB 15U A - Rockies,VCB 15U A - Mariners,04/16/2024 17:30:00,04/16/2024 20:00:00,i4s483orf86m1krq4040rquqg8
Game,VCB Expos 15U AA - Blue,North Shore,04/17/2024 17:30:00,04/17/2024 20:00:00,i2esijlrlcvg3nbdkf9uh10d7g
Game,VCB 15U A - Tigers,VCB 15U A - Rangers,04/18/2024 17:30:00,04/18/2024 20:00:00,4aoha1mt958h9k16d6if8s56gc
Game,VCB 15U A - Athletics,VCB 15U A - Blue Jays,04/19/2024 17:30:00,04/19/2024 20:00:00,iumnme3cvujekta28kom5cbsu4
Game,VCB Expos 15U AA - Blue,Vic-Layritz,04/20/2024 12:00:00,04/20/2024 14:30:00,15obb3b9h8neuc6invb5esg5fg
Game,VCB Expos 15U AA - Blue,Vic-Layritz,04/20/2024 14:30:00,04/20/2024 17:00:00,m7e8mkp4n5gcihro03326udh9o
Game,VCB Mounties 15U AA - Red,Vic-Layritz,04/21/2024 11:00:00,04/21/2024 13:30:00,sc047cc35aul37ii9iampigfl0
Game,VCB Mounties 15U AA - Red,Vic-Layritz,04/21/2024 13:30:00,04/21/2024 16:00:00,fi255rnvr7qtt7se8o2nhdib3o
Practice,VCB 15U A Girls - Royals,Practice,04/22/2024 16:30:00,04/22/2024 18:30:00,4uhm80227mfo0mpg0oguofjfhs
Practice,VCB 15U A - Tigers,Tigers Practice,04/22/2024 18:15:00,04/22/2024 20:15:00,9h814p1bs2lb65adnjlhnav6cg
Practice,VCB 15U A - Athletics,Practice,04/23/2024 16:30:00,04/23/2024 18:30:00,8ajbhha62mgcg4tiuc3mjldhng
Practice,VCB Mounties 15U AAA,Practice,04/23/2024 18:15:00,04/23/2024 20:15:00,o11ju472jg073dco5d4ftn483k
Practice,VCB Expos 15U AA - Blue,Practice,04/24/2024 18:15:00,04/24/2024 20:15:00,rao7v35saaqis9v4thke78ct08
Practice,VCB Mounties 15U AAA,Practice,04/25/2024 16:15:00,04/25/2024 18:15:00,rakjqpqek6n4tpebe015k10fug
Practice,VCB Mounties 15U AA - Red,Practice,04/25/2024 18:15:00,04/25/2024 20:00:00,4r827m6k82tar8cfj4e5qoi1ls
Practice,VCB 15U A - Expos,Practice,04/26/2024 16:30:00,04/26/2024 18:15:00,51ohsl3vrljp0toh9cnf57153g
Practice,VCB 15U A - Blue Jays,Practice,04/26/2024 18:15:00,04/26/2024 20:00:00,ucg7k40heuhjb6oh04agn5qte4
Game,VCB Mounties 15U AAA,Township,04/27/2024 09:00:00,04/27/2024 11:00:00,0k2h55f27h1aumt6unp4l570og
