eventType,homeTeam,visitingTeamOrDescription,startTime,endTime,googleEventId
LeagueControlledGame,VCB 18U AA Athletics,VCB 18U AA Dodgers,04/12/2024 17:30:00,04/12/2024 20:00:00,
Practice,VCB,Connor's Junior UBC team,04/13/2024 10:00:00,04/13/2024 13:00:00,
TeamControlledGame,VCB Mounties 18U AAA,COMBA,04/13/2024 15:00:00,04/13/2024 17:00:00,
TeamControlledGame,VCB Mounties 18U AAA,COMBA,04/13/2024 17:30:00,04/13/2024 19:30:00,
TeamControlledGame,VCB Mounties 18U AAA,Aldergrove,04/14/2024 12:00:00,04/14/2024 14:00:00,
TeamControlledGame,VCB Mounties 18U AAA,Aldergrove,04/14/2024 14:30:00,04/14/2024 16:30:00,
Practice,VCB,LMBA game,04/14/2024 17:00:00,04/14/2024 20:00:00,
LeagueControlledGame,VCB 18U AA Reds,VCB 18U AA Yankees,04/15/2024 17:30:00,04/15/2024 20:00:00,
Practice,VCB Mounties 18U AAA,Practice,04/16/2024 18:15:00,04/16/2024 20:15:00,
LeagueControlledGame,VCB 18U AA Rangers,VCB 18U AA Rockies,04/17/2024 17:30:00,04/17/2024 20:00:00,
LeagueControlledGame,VCB 18U AA Pirates,VCB 18U AA Yankees,04/18/2024 17:30:00,04/18/2024 20:00:00,
LeagueControlledGame,VCB 18U AA Giants,VCB 18U AA Diamondbacks,04/19/2024 17:30:00,04/19/2024 20:00:00,
TeamControlledGame,VCB Mounties 18U AAA,South Fraser Giants,04/20/2024 12:00:00,04/20/2024 14:00:00,
TeamControlledGame,VCB Mounties 18U AAA,South Fraser Giants,04/20/2024 14:30:00,04/20/2024 16:30:00,
LeagueControlledGame,VCB 18U AA Rockies,VCB 18U AA Pirates,04/20/2024 17:30:00,04/20/2024 20:00:00,
Practice,VCB,LMBA game,04/21/2024 17:00:00,04/21/2024 20:00:00,
LeagueControlledGame,VCB 18U AA Diamondbacks,VCB 18U AA Rockies,04/22/2024 17:30:00,04/22/2024 20:00:00,
Practice,VCB Mounties 18U AAA,Practice,04/23/2024 18:15:00,04/23/2024 20:15:00,
LeagueControlledGame,VCB 18U AA Mariners,VCB 18U AA Reds,04/24/2024 17:30:00,04/24/2024 20:00:00,
LeagueControlledGame,VCB 18U AA Rangers,VCB 18U AA Athletics,04/25/2024 17:30:00,04/25/2024 20:00:00,
LeagueControlledGame,VCB 18U AA Yankees,VCB 18U AA Diamondbacks,04/26/2024 17:30:00,04/26/2024 20:00:00,
LeagueControlledGame,VCB 18U AA Rockies,VCB 18U AA Dodgers,04/27/2024 11:30:00,04/27/2024 14:00:00,
LeagueControlledGame,VCB 18U AA Mariners,VCB 18U AA Pirates,04/27/2024 14:30:00,04/27/2024 17:00:00,
Practice,VCB,LMBA game,04/27/2024 17:00:00,04/27/2024 20:00:00,
TeamControlledGame,VCB Mounties 18U AAA,Kamloops,04/28/2024 10:00:00,04/28/2024 12:00:00,
LeagueControlledGame,VCB 18U AA Diamondbacks,VCB 18U AA Rangers,04/28/2024 11:30:00,04/28/2024 14:00:00,
TeamControlledGame,VCB Mounties 18U AAA,Kamloops,04/28/2024 12:30:00,04/28/2024 14:30:00,
LeagueControlledGame,VCB 18U AA Giants,VCB 18U AA Yankees,04/28/2024 14:30:00,04/28/2024 17:00:00,
Practice,VCB,LMBA game,04/28/2024 17:00:00,04/28/2024 20:00:00,
LeagueControlledGame,VCB 18U AA Dodgers,VCB 18U AA Marlins,04/29/2024 17:30:00,04/29/2024 20:00:00,
Practice,VCB Mounties 18U AAA,Practice,04/30/2024 18:15:00,04/30/2024 20:15:00,
LeagueControlledGame,VCB 18U AA Mariners,VCB 18U AA Rockies,05/01/2024 18:00:00,05/01/2024 20:30:00,
LeagueControlledGame,VCB 18U AA Pirates,VCB 18U AA Athletics,05/02/2024 18:00:00,05/02/2024 20:30:00,
LeagueControlledGame,VCB 18U AA Marlins,VCB 18U AA Diamondbacks,05/03/2024 18:00:00,05/03/2024 20:30:00,
LeagueControlledGame,VCB 18U AA Giants,VCB 18U AA Mariners,05/03/2024 18:00:00,05/03/2024 20:30:00,
LeagueControlledGame,VCB 18U AA Reds,VCB 18U AA Dodgers,05/04/2024 12:00:00,05/04/2024 14:30:00,
LeagueControlledGame,VCB 18U AA Rockies,VCB 18U AA Athletics,05/04/2024 15:00:00,05/04/2024 17:30:00,
LeagueControlledGame,VCB 18U AA Yankees,VCB 18U AA Mariners,05/05/2024 12:00:00,05/05/2024 14:30:00,
LeagueControlledGame,VCB 18U AA Diamondbacks,VCB 18U AA Pirates,05/05/2024 15:00:00,05/05/2024 17:30:00,
