eventType,homeTeam,visitingTeamOrDescription,startTime,endTime,googleEventId
Practice,26U Expos 1,Practice,04/14/2024 17:30:00,04/14/2024 20:30:00,
Practice,VCB 18U AA Mariners,Team practice,04/16/2024 17:30:00,04/16/2024 19:30:00,
Practice,26U Expos 1,Practice,04/17/2024 17:30:00,04/17/2024 20:30:00,
Practice,VCB 18U AA Dodgers,Practice,04/18/2024 17:30:00,04/18/2024 20:30:00,
Practice,VCB 18U AA Mariners,Team practice,04/18/2024 17:45:00,04/18/2024 19:45:00,
Practice,26U Expos 1,Practice,04/21/2024 17:30:00,04/21/2024 20:30:00,
Practice,VCB 18U AA Dodgers,Practice,04/23/2024 17:30:00,04/23/2024 19:30:00,
Practice,26U Expos 1,Practice,04/24/2024 17:30:00,04/24/2024 20:30:00,
Practice,VCB 18U AA Dodgers,Practice,04/25/2024 17:30:00,04/25/2024 20:30:00,
Practice,26U Expos 1,Practice,04/28/2024 17:30:00,04/28/2024 20:30:00,
Practice,VCB 18U AA Dodgers,Practice,04/30/2024 17:30:00,04/30/2024 19:30:00,
Practice,26U Expos 1,Practice,05/01/2024 17:30:00,05/01/2024 20:30:00,
Practice,VCB 18U AA Dodgers,Practice,05/02/2024 17:30:00,05/02/2024 20:30:00,
Practice,26U Expos 1,Practice,05/03/2024 18:00:00,05/03/2024 21:00:00,
Practice,26U Expos 1,Practice,05/05/2024 17:30:00,05/05/2024 20:30:00,
Practice,VCB 18U AA Dodgers,Practice,05/07/2024 17:30:00,05/07/2024 19:30:00,
Practice,26U Expos 1,Practice,05/08/2024 17:30:00,05/08/2024 20:30:00,
Practice,VCB 18U AA Dodgers,Practice,05/09/2024 17:30:00,05/09/2024 20:30:00,
Practice,26U Expos 1,Practice,05/10/2024 18:00:00,05/10/2024 21:00:00,
Practice,26U Expos 1,Practice,05/12/2024 17:30:00,05/12/2024 20:30:00,
Practice,VCB 18U AA Dodgers,Practice,05/14/2024 17:30:00,05/14/2024 19:30:00,
Practice,26U Expos 1,Practice,05/15/2024 17:30:00,05/15/2024 20:30:00,
Practice,VCB 18U AA Dodgers,Practice,05/16/2024 17:30:00,05/16/2024 20:30:00,
Practice,26U Expos 1,Practice,05/17/2024 18:00:00,05/17/2024 21:00:00,
Practice,26U Expos 1,Practice,05/19/2024 17:30:00,05/19/2024 20:30:00,
Practice,VCB 18U AA Dodgers,Practice,05/21/2024 17:30:00,05/21/2024 19:30:00,
Practice,26U Expos 1,Practice,05/22/2024 17:30:00,05/22/2024 20:30:00,
Practice,VCB 18U AA Dodgers,Practice,05/23/2024 17:30:00,05/23/2024 20:30:00,
Practice,26U Expos 1,Practice,05/24/2024 18:00:00,05/24/2024 21:00:00,
Practice,26U Expos 1,Practice,05/26/2024 17:30:00,05/26/2024 20:30:00,
Practice,VCB 18U AA Dodgers,Practice,05/28/2024 17:30:00,05/28/2024 19:30:00,
Practice,26U Expos 1,Practice,05/29/2024 17:30:00,05/29/2024 20:30:00,
Practice,VCB 18U AA Dodgers,Practice,05/30/2024 17:30:00,05/30/2024 20:30:00,
Practice,26U Expos 1,Practice,05/31/2024 18:00:00,05/31/2024 21:00:00,
Practice,26U Expos 1,Practice,06/02/2024 17:30:00,06/02/2024 20:30:00,
Practice,VCB 18U AA Dodgers,Practice,06/04/2024 17:30:00,06/04/2024 19:30:00,
Practice,26U Expos 1,Practice,06/05/2024 17:30:00,06/05/2024 20:30:00,
Practice,VCB 18U AA Dodgers,Practice,06/06/2024 17:30:00,06/06/2024 20:30:00,
