eventType,homeTeam,visitingTeamOrDescription,startTime,endTime,googleEventId
Game,VCB Mounties 13U AAA,North Shore,04/17/2024 17:30:00,04/17/2024 20:30:00,3k7oti6nilc3chcqb5ujm2o0h8
Game,VCB 13U A Dodgers,VCB 13U A Pirates,04/18/2024 17:30:00,04/18/2024 20:00:00,19ld9r4tcn61b32q8rf33g8huk
Game,VCB 13U A Pirates,VCB 13U A Dodgers,04/18/2024 17:30:00,04/18/2024 20:30:00,kabt113ip7nb4h3si5qsd1kamg
Game,VCB 13U A Red Sox,NSBA2,04/20/2024 11:30:00,04/20/2024 13:30:00,1kqgqbrkve3m9tts7octu2scag
Game,VCB 13U A Pirates,VCB 13U A Diamondbacks,04/20/2024 14:30:00,04/20/2024 16:30:00,rt6sfrqe5dmlr19q5mhaugnjfc
Game,VCB 13U A Diamondbacks,VCB 13U A Pirates,04/20/2024 14:30:00,04/20/2024 17:00:00,3onkrsv3eg9bqeqvvkj3bvqrss
Practice,VCB 13U A Diamondbacks,13U A Diamondbacks practice,04/22/2024 17:30:00,04/22/2024 19:30:00,qe0pke3b2oe0hk3jnmcqplarvk
Practice,VCB Mounties 13U AAA,Practice,04/23/2024 17:00:00,04/23/2024 18:45:00,7btsde6jjos2n4i17vhl47vgsc
Practice,VCB Mounties 13U AA,Practice,04/23/2024 18:00:00,04/23/2024 19:45:00,i7101uj16qla7i2edum24v82us
Game,VCB 13U A Giants,VCB 13U A Pirates,04/24/2024 17:30:00,04/24/2024 19:30:00,c7eo33dgh59et12ks6red6n3ao
Game,VCB 13U A Pirates,VCB 13U A Giants,04/24/2024 17:30:00,04/24/2024 19:30:00,jpmal07k19jmucvcrllo5ri24g
Practice,VCB 13U A Giants,13U A Giants practice,04/25/2024 16:30:00,04/25/2024 18:30:00,srune8q8i84pmbelebuqb3v13k
Practice,VCB Mounties 13U AA,Practice,04/25/2024 17:00:00,04/25/2024 18:45:00,78cltngo1htuu9cn2ak0b96d58
Practice,VCB Mounties 13U AAA,Practice,04/25/2024 18:00:00,04/25/2024 19:45:00,cjcmn68k7ulpogtr82fifhhc5k
Game,VCB 13U A Red Sox,SBMC1,04/27/2024 11:30:00,04/27/2024 13:30:00,f5m6l6hhulfv95b45ensej3vfk
Game,VCB 13U A Dodgers,SCBA2,04/27/2024 14:30:00,04/27/2024 17:00:00,rbs6fcrcbvav86aj9q9n0lslis
Game,VCB 13U A Pirates,VCB 13U A Dodgers,04/28/2024 11:30:00,04/28/2024 13:30:00,roc2e2lh4m07k9irm6maaeespo
Game,VCB 13U A Dodgers,VCB 13U A Pirates,04/28/2024 11:30:00,04/28/2024 13:30:00,0nr2cld3epu1cldicjnu5vooss
Game,VCB 13U A Diamondbacks,NSBA3,04/28/2024 14:30:00,04/28/2024 17:00:00,r7g5n0tj1sf65f7q66casl2hts
Practice,VCB Mounties 13U AAA,Practice,04/30/2024 17:00:00,04/30/2024 18:45:00,eorp0dr6omhm8v2q99i31erd5o
Practice,VCB Mounties 13U AA,Practice,04/30/2024 18:00:00,04/30/2024 19:45:00,4loboa8tdfpmquc136rcl82op4
Game,VCB 13U A Pirates,VCB 13U A Diamondbacks,05/01/2024 17:30:00,05/01/2024 19:30:00,coktm3i8u65rngq73comje3dco
Game,VCB 13U A Diamondbacks,VCB 13U A Pirates,05/01/2024 17:30:00,05/01/2024 20:00:00,hnl6ggkb9i58equu8kvc1tqemk
Practice,VCB Mounties 13U AA,Practice,05/02/2024 17:00:00,05/02/2024 18:45:00,vbpa0snlpdpbt2mdsl469vg148
Practice,VCB Mounties 13U AAA,Practice,05/02/2024 18:00:00,05/02/2024 19:45:00,bcfibm4lgu812khu5lnuvouiqc
Game,VCB Mounties 13U AA,North Shore,05/04/2024 12:00:00,05/04/2024 15:00:00,h6jikamu2t1kpo96qt7mip40p8
Game,VCB Mounties 13U AA,North Shore,05/04/2024 15:00:00,05/04/2024 18:00:00,k1hl22m6rkcpet7m5jebcs3gl4
Game,VCB 13U A Pirates,VCB 13U A Giants,05/04/2024 18:00:00,05/04/2024 20:00:00,40n1b9pth9ph4gsflquckd279k
Practice,VCB 13U A Diamondbacks,13U A Diamondbacks practice,05/06/2024 18:45:00,05/06/2024 20:45:00,q4f175kkh9u42dpeoafu6vf2uk
Practice,VCB Mounties 13U AAA,Practice,05/07/2024 17:00:00,05/07/2024 18:45:00,nv5rou1sjg7au2r2ivk3kb7tio
Practice,VCB Mounties 13U AA,Practice,05/07/2024 18:00:00,05/07/2024 19:45:00,usntbvt5r6t9svqh1s84e3h5n0
Game,VCB 13U A Red Sox,VCB 13U A Giants,05/08/2024 18:00:00,05/08/2024 20:00:00,raer28o9v08d20h39r89mk7mfk
Practice,VCB 13U A Giants,13U A Giants practice,05/09/2024 16:30:00,05/09/2024 18:30:00,u94ol2ufb186ohn170e3igobao
Practice,VCB Mounties 13U AA,Practice,05/09/2024 17:00:00,05/09/2024 18:45:00,v3t2ps3j0g0r5ijtc7sbkhg290
Game,VCB 13U A Giants,TC5,05/11/2024 12:00:00,05/11/2024 14:00:00,mnl62e8869h4dtigob1jt3nvmc
Game,VCB 13U A Pirates,SBMC2,05/11/2024 15:00:00,05/11/2024 17:00:00,ia2sllu9kgmsneeadg8pnqkl54
Game,VCB 13U A Dodgers,VCB 13U A Red Sox,05/11/2024 18:00:00,05/11/2024 20:00:00,bscneidk0p56t93odt1nc4btqc
Game,VCB 13U A Red Sox,VCB 13U A Dodgers,05/11/2024 18:00:00,05/11/2024 20:30:00,8277mvfng3dsrqrpkgnfd27lak
Practice,VCB Mounties 13U AAA,Practice,05/14/2024 17:00:00,05/14/2024 18:45:00,0qp98gs3d1s7rfoqgled7btncg
Game,VCB 13U A Red Sox,VCB 13U A Pirates,05/15/2024 18:00:00,05/15/2024 20:30:00,256hf7suu230mgns8fco6ff6ug
Game,VCB 13U A Pirates,VCB 13U A Red Sox,05/15/2024 18:00:00,05/15/2024 20:00:00,dn9ic9di9kpd565egkh9c9h72s
Practice,VCB Mounties 13U AA,Practice,05/16/2024 17:00:00,05/16/2024 18:45:00,he8nugvmvp22iklk7qlt9jgdqs
Practice,VCB 13U A Diamondbacks,13U A Diamondbacks practice,05/20/2024 18:45:00,05/20/2024 20:45:00,d7l9isn61pgf5s1fe3gmt1cnfo
Practice,VCB Mounties 13U AAA,Practice,05/21/2024 17:00:00,05/21/2024 18:45:00,oujam26cdgjmc5gv4nunmsrnu4
Game,VCB 13U A Dodgers,VCB 13U A Giants,05/22/2024 18:00:00,05/22/2024 20:30:00,ijccjcqpcmmeg79g5l0vrtm48k
Game,VCB 13U A Giants,VCB 13U A Dodgers,05/22/2024 18:00:00,05/22/2024 20:00:00,icvb7dvltfkvfi51jp8la0v3ss
Practice,VCB 13U A Giants,13U A Giants practice,05/23/2024 16:30:00,05/23/2024 18:30:00,guhv6cti2qolb6a9mc6a954i5g
Practice,VCB Mounties 13U AA,Practice,05/23/2024 17:00:00,05/23/2024 18:45:00,rtdq2grh2t5q5ldedoe4q7nru8
Game,VCB Mounties 13U AA,Tsawwassen,05/25/2024 12:00:00,05/25/2024 15:00:00,bin0v55rb6u6qph24256dtt7s4
Game,VCB 13U A Giants,NSBA1,05/25/2024 18:00:00,05/25/2024 20:00:00,246ghnkak0eimu0clfm1dniq8c
Game,VCB 13U A Red Sox,VCB 13U A Dodgers,05/26/2024 15:00:00,05/26/2024 17:00:00,mf21r725pbc6fgjr2aa2d29kkg
Game,VCB 13U A Dodgers,VCB 13U A Red Sox,05/26/2024 15:00:00,05/26/2024 17:30:00,17pdceo1cucflgd10jpdvkaarc
Practice,VCB Mounties 13U AAA,Practice,05/28/2024 17:00:00,05/28/2024 18:45:00,d453f98gsotf3q5iv1s3099bn4
Game,VCB 13U A Diamondbacks,VCB 13U A Giants,05/29/2024 18:00:00,05/29/2024 20:00:00,ffiq3i5qhkp7gdc3lr1brhm6os
Practice,VCB Mounties 13U AA,Practice,05/30/2024 17:00:00,05/30/2024 18:45:00,n5v3ii7s9flo5uofkeiftl62rs
Game,VCB Mounties 13U AAA,Nanaimo,06/01/2024 12:00:00,06/01/2024 15:00:00,upju0fqbrs9ff7l6ncidafkse0
Practice,VCB Mounties 13U AAA,Nanaimo vs NS,06/01/2024 15:00:00,06/01/2024 17:30:00,qhjh5o7vq85gqiogjapt2hao50
Practice,VCB 13U A Diamondbacks,13U A Diamondbacks practice,06/03/2024 18:45:00,06/03/2024 20:45:00,7k60og0ncv106tfmb81kah4cqo
