eventType,homeTeam,visitingTeamOrDescription,startTime,endTime,googleEventId
Practice,VCB Expos 15U AA - Blue,Practice,04/11/2024 16:15:00,04/11/2024 18:15:00,cau1ebk05hpm22jnjald5mll30
Practice,VCB Mounties 18U AAA,Practice,04/11/2024 18:15:00,04/11/2024 20:15:00,3jnslpskbfkc714hqi5j31n39k
LeagueControlledGame,VCB 18U AA Diamondbacks,VCB 18U AA Mariners,04/12/2024 17:30:00,04/12/2024 20:00:00,mbmflhai03emols0uop668b6ic
LeagueControlledGame,VCB 18U AA Yankees,VCB 18U AA Rockies,04/13/2024 11:30:00,04/13/2024 14:00:00,spp5nekfl98qsp0uu5n0u013vk
LeagueControlledGame,VCB 18U AA Giants,VCB 18U AA Pirates,04/13/2024 14:30:00,04/13/2024 17:00:00,76i19ljqu5ql13efgv152ckug0
LeagueControlledGame,VCB 18U AA Marlins,VCB 18U AA Rangers,04/13/2024 17:30:00,04/13/2024 20:00:00,bkdc733aogl8ednahh4jgufsg4
LeagueControlledGame,VCB 18U AA Mariners,VCB 18U AA Athletics,04/14/2024 11:30:00,04/14/2024 14:00:00,ok68vgk5j8617gf45nir9g8u68
LeagueControlledGame,VCB 18U AA Diamondbacks,VCB 18U AA Dodgers,04/14/2024 14:30:00,04/14/2024 17:00:00,80658d4smne9sbq2i9pnj5eobo
LeagueControlledGame,VCB 18U AA Marlins,VCB 18U AA Giants,04/15/2024 17:30:00,04/15/2024 20:00:00,bv5q74s2qhdi6cdftbgcp8regs
Practice,VCB Mounties 15U AA - Red,Practice,04/16/2024 16:30:00,04/16/2024 18:15:00,falrd8kquj0172d3o5prvi1ecs
Practice,VCB Expos 15U AA - Blue,Practice,04/16/2024 18:15:00,04/16/2024 20:15:00,cmi6lq228v3o2kvud9vqjikskk
LeagueControlledGame,VCB 18U AA Athletics,VCB 18U AA Reds,04/17/2024 17:30:00,04/17/2024 20:00:00,1fapkrg2gts1p2gcvbag7meib4
Practice,VCB Expos 15U AA - Blue,Practice,04/18/2024 16:15:00,04/18/2024 18:15:00,5bmf3apijhu4uc3dru9bd998us
Practice,VCB Mounties 18U AAA,Practice,04/18/2024 18:15:00,04/18/2024 20:15:00,6re5f1hqm2p3hq1vtqr16jlmek
LeagueControlledGame,VCB 18U AA Dodgers,VCB 18U AA Mariners,04/19/2024 17:30:00,04/19/2024 20:00:00,4dudqq5kqhmp1kku9d7jbi1uno
LeagueControlledGame,VCB 18U AA Yankees,VCB 18U AA Rangers,04/20/2024 11:30:00,04/20/2024 14:00:00,0q4f6lqart3qq6c8v909ocqtbg
LeagueControlledGame,VCB 18U AA Marlins,VCB 18U AA Reds,04/20/2024 14:30:00,04/20/2024 17:00:00,f79dvi3907bo9eo2euhkvs7iho
LeagueControlledGame,VCB 18U AA Athletics,VCB 18U AA Giants,04/21/2024 11:30:00,04/21/2024 14:00:00,c35jk2hv61bdm18b8fr5uqs3es
LeagueControlledGame,VCB 18U AA Dodgers,VCB 18U AA Yankees,04/22/2024 17:30:00,04/22/2024 20:00:00,sssa3jlltpnj2buop0082rfvl4
Practice,VCB Mounties 15U AA - Red,Practice,04/23/2024 16:30:00,04/23/2024 18:15:00,56tgi6jdqqree4cuas4skoeq1o
TeamControlledGame,VCB Expos 15U AA - Blue,Ladner,04/23/2024 17:30:00,04/23/2024 20:00:00,0hsjtj625io8fsre1fn1mblcm8
LeagueControlledGame,VCB 18U AA Marlins,VCB 18U AA Pirates,04/24/2024 17:30:00,04/24/2024 20:00:00,re0kfbdmmfti44hkeq9b2nva7g
Practice,VCB Expos 15U AA - Blue,Practice,04/25/2024 16:15:00,04/25/2024 18:15:00,nnk69eibpvd10vuiaf0in35ds0
Practice,VCB Mounties 18U AAA,Practice,04/25/2024 18:15:00,04/25/2024 20:15:00,beks96t6haji7gedq5o2g073b8
LeagueControlledGame,VCB 18U AA Reds,VCB 18U AA Giants,04/26/2024 17:30:00,04/26/2024 20:00:00,mi4ht6qgqpqkjmclevddp9pggg
