eventType,location,startTime,homeTeam,visitingTeam,endTime,description,googleEventId
Practice,Chaldecott Park N diamond,04/02/2025 18:00:00,VCB 15U Dodgers,,04/02/2025 19:30:00,Practice,2t7ifjbqs7gse7fega4bnj6dgs
Practice,Chaldecott Park N diamond,04/02/2025 18:00:00,VCB 15U Expos,,04/02/2025 19:30:11,VCB 15U Expos Baseball Practice,sb62mg9ukbbd8j9v2sjg3oubec
Game,Chaldecott Park N diamond,04/05/2025 14:30:00,VCB 15U Blue Jays,VCB 15U A's,04/05/2025 16:30:00,,4e7ggi5577d0fps3rfkb4nshss
Game,Chaldecott Park N diamond,04/05/2025 17:30:00,VCB 15U Mariners,VCB 15U Rockies,04/05/2025 19:30:00,,mkhfeo4uq7noppvejblj3o84f4
Game,Chaldecott Park N diamond,04/06/2025 11:30:00,VCB 15U Red Sox,VCB 15U Mariners,04/06/2025 13:30:00,,9qjgqrgjv1kf49q9fga81fl23k
Game,Chaldecott Park N diamond,04/06/2025 14:30:00,VCB 16U Red Sox-Girls,VCB 16U White Sox,04/06/2025 16:30:00,,f566aonq1mnbb1v6tanj18iong
Game,Chaldecott Park N diamond,04/06/2025 17:30:00,VCB 15U Expos,VCB 15U Dodgers,04/06/2025 19:30:00,,4lcrudcv493hivtobv3s89hph8
Practice,Chaldecott Park N diamond,04/09/2025 18:00:00,VCB 15U Expos,,04/09/2025 19:30:11,VCB 15U Expos Baseball Practice,crjod332hjn8v013a0m85d4tss
Game,Chaldecott Park N diamond,04/12/2025 10:00:00,VCB 13U AAA,Ladner,04/12/2025 12:00:00,,ehikp8g1cag5dmjtocgn0c01hk
Game,Chaldecott Park N diamond,04/12/2025 12:30:00,VCB 13U AAA,Ladner,04/12/2025 14:30:00,,hk1f3lhsa5heme7g4l4772jka4
Game,Chaldecott Park N diamond,04/13/2025 11:30:00,VCB 16U Red Sox-Girls,VCB 15U Red Sox,04/13/2025 13:30:00,,4smuvd428v4e80o03f77lja1fk
