eventType,homeTeam,visitingTeamOrDescription,startTime,endTime,googleEventId
Practice,VCB 15U A - Mariners,Practice,04/18/2024 16:15:00,04/18/2024 18:00:00,0imn4lnd9c05diuamhh3q45lk0
Practice,VCB 18U AA Diamondbacks,DB's/Yankees Practice,04/18/2024 18:00:00,04/18/2024 20:00:00,6i3feek5sc54uuhjl6736m1gso
Practice,VCB 18U AA Yankees,DB's/Yankees practice,04/18/2024 18:30:00,04/18/2024 20:30:00,ssenier2grpbm7roivhec4a1hk
Practice,VCB 15U A - Rangers,Practice,04/19/2024 16:30:00,04/19/2024 18:30:00,hi4mk5muqagkgmcedfkfovg898
Practice,VCB 15U A - Giants,15U A Giants Practice,04/19/2024 18:30:00,04/19/2024 20:30:00,sca6uj1oa7jftks2tcihta2huo
Practice,VCB 18U AA Giants,Team Practice,04/20/2024 09:30:00,04/20/2024 11:30:00,p6lv0t8aamv6kqlnsja1uf0tf4
Practice,VCB 15U A - Blue Jays,Practice,04/21/2024 14:30:00,04/21/2024 16:30:00,vta5lhrnme28gmap18pq7vcaac
Practice,VCB 15U A - Red Sox,Practice,04/22/2024 16:45:00,04/22/2024 18:30:00,41jieneou00rcjafgnufkec5oc
Practice,VCB 18U AA Athletics,A's/Reds practice,04/23/2024 16:30:00,04/23/2024 18:30:00,c4a4mcbdmsf4vres2pf6c9tjog
Practice,VCB 18U AA Reds,A's/Reds practice,04/23/2024 16:30:00,04/23/2024 18:30:00,oplg1612e08o3dno7qgr15maj8
Practice,VCB 18U AA Marlins,Practice,04/23/2024 18:30:00,04/23/2024 20:30:00,sqhq0dm5v3qg2cm5j75m8oucmg
Practice,VCB 15U A - Rockies,Rockies Practice,04/24/2024 16:30:00,04/24/2024 18:30:00,n16gghfpljppstsgba2fqamg50
Practice,VCB 18U AA Rangers,Pirates/Rangers Practice,04/24/2024 18:30:00,04/24/2024 20:30:00,8jospq94knii6jmvlbt357bn4o
Practice,VCB 18U AA Pirates,Pirates/Rangers Practice,04/24/2024 18:30:00,04/24/2024 20:30:00,ig1tkne1f5v9hsmlq982eu3eu0
Practice,VCB 15U A - Mariners,Practice,04/25/2024 16:15:00,04/25/2024 18:00:00,nipjpo79sdm9ad5ajk1tgkff70
Practice,VCB 18U AA Diamondbacks,DB's/Yankees Practice,04/25/2024 18:00:00,04/25/2024 20:00:00,n163iqir6a6o8huga26fop38gg
Practice,VCB 18U AA Yankees,DB's/Yankees practice,04/25/2024 18:30:00,04/25/2024 20:30:00,9hruoborpqhj34e0klc40ofs1g
Practice,VCB 15U A - Rangers,Practice,04/26/2024 16:30:00,04/26/2024 18:30:00,7m2g04r6chockepf3sv8eo7odo
Practice,VCB 15U A - Giants,15U A Giants Practice,04/26/2024 18:30:00,04/26/2024 20:30:00,t9q645ltribbs1dl9hrusi5br4
Practice,VCB 18U AA Giants,Team Practice,04/27/2024 09:30:00,04/27/2024 11:30:00,m6r8t3okv0t8a5ohmrhpkao8c8
Practice,VCB 15U A - Yankees,Practice,04/28/2024 15:00:00,04/28/2024 17:00:00,8vn04lafgajahsjapapasoh40c
Practice,VCB 15U A - Red Sox,Practice,04/29/2024 16:45:00,04/29/2024 18:30:00,bq7n82nq6phr2mv4epsabqmdl8
Practice,VCB 18U AA Rockies,Rockies Practice,04/29/2024 17:30:00,04/29/2024 19:30:00,060votvcbp1n56rboimlgrq70c
Practice,VCB 18U AA Athletics,A's/Reds practice,04/30/2024 16:30:00,04/30/2024 18:30:00,f5c2m30kno8jknbsh02q1p4mug
Practice,VCB 18U AA Reds,A's/Reds practice,04/30/2024 16:30:00,04/30/2024 18:30:00,65nrb1kbh3oktgfk2lsm93gblc
Practice,VCB 18U AA Marlins,Practice,04/30/2024 18:30:00,04/30/2024 20:30:00,8othmiu2buhhsgs38t995ncmak
Practice,VCB 15U A - Rockies,Rockies Practice,05/01/2024 16:30:00,05/01/2024 18:30:00,tsritd0en3cect31447om6rlok
Practice,VCB 18U AA Rangers,Pirates/Rangers Practice,05/01/2024 18:30:00,05/01/2024 20:30:00,7b535iolup5uhjlf05cf32j1vs
Practice,VCB 18U AA Pirates,Pirates/Rangers Practice,05/01/2024 18:30:00,05/01/2024 20:30:00,j23mquq63dej1u3bjb2oua394k
Practice,VCB 15U A - Mariners,Practice,05/02/2024 16:15:00,05/02/2024 18:00:00,pjmb1ohdegcd0708htds75ubt0
Practice,VCB 18U AA Diamondbacks,DB's/Yankees Practice,05/02/2024 18:00:00,05/02/2024 20:00:00,sbuib4ttp6st4mg1m3pn3vkvf4
Practice,VCB 18U AA Yankees,DB's/Yankees practice,05/02/2024 18:30:00,05/02/2024 20:30:00,m940nr4r4ljgq76v70c0bh33p8
Practice,VCB 15U A - Rangers,Practice,05/03/2024 16:30:00,05/03/2024 18:30:00,f8mhuutja9s57etlloqfkchv6g
Practice,VCB 15U A - Giants,15U A Giants Practice,05/03/2024 18:30:00,05/03/2024 20:30:00,5p4k55i4qm59341qt9iqfmntto
Practice,VCB 18U AA Giants,Team Practice,05/04/2024 09:30:00,05/04/2024 11:30:00,b7387uv0nbt6ku9erffohfss8c
Practice,VCB 15U A - Yankees,Practice,05/05/2024 15:00:00,05/05/2024 17:00:00,qmn8h9dc6esu162c4k9kcc5rns
Practice,VCB 15U A - Red Sox,Practice,05/06/2024 16:45:00,05/06/2024 18:30:00,meq1544207jua31k2ufelfefdg
Practice,VCB 18U AA Rockies,Rockies Practice,05/06/2024 17:30:00,05/06/2024 19:30:00,7i43lvt4hpstt4atb8bqks0084
Practice,VCB 18U AA Athletics,A's/Reds practice,05/07/2024 16:30:00,05/07/2024 18:30:00,4nkvdvv3qfrugu2c55n4kgspv8
Practice,VCB 18U AA Reds,A's/Reds practice,05/07/2024 16:30:00,05/07/2024 18:30:00,jd6qnih4qngp7o0juriharng0s
Practice,VCB 18U AA Marlins,Practice,05/07/2024 18:30:00,05/07/2024 20:30:00,2lj47f2uca38jpf0ng5mbit2tc
Practice,VCB 15U A - Rockies,Rockies Practice,05/08/2024 16:30:00,05/08/2024 18:30:00,f51pj43qunq5f5fuum9kovk1bs
Practice,VCB 18U AA Rangers,Pirates/Rangers Practice,05/08/2024 18:30:00,05/08/2024 20:30:00,bfavuj2m6hnkepr98mcqt94h1o
Practice,VCB 18U AA Pirates,Pirates/Rangers Practice,05/08/2024 18:30:00,05/08/2024 20:30:00,46l2a2bdor47ua28nusr34vguk
Practice,VCB 15U A - Mariners,Practice,05/09/2024 16:15:00,05/09/2024 18:00:00,av2luh4tnodh76bdblvu48lbfc
Practice,VCB 18U AA Diamondbacks,DB's/Yankees Practice,05/09/2024 18:00:00,05/09/2024 20:00:00,dtl062hihfidps5jiunemf5obg
Practice,VCB 18U AA Yankees,DB's/Yankees practice,05/09/2024 18:30:00,05/09/2024 20:30:00,8qum86erqmi5kign6o8m3untv4
Practice,VCB 15U A - Rangers,Practice,05/10/2024 16:30:00,05/10/2024 18:30:00,dq7ambqofkr0lls8od2t147pis
Practice,VCB 15U A - Giants,15U A Giants Practice,05/10/2024 18:30:00,05/10/2024 20:30:00,g04sfu8hn448fapba0p35ufl7c
Practice,VCB 18U AA Giants,Team Practice,05/11/2024 09:30:00,05/11/2024 11:30:00,40nnosegb2djp9ip6tbf0lekdo
Practice,VCB 15U A - Yankees,Practice,05/12/2024 15:00:00,05/12/2024 17:00:00,gkk50uo4hu2ik6ouesfsv3v4ps
Practice,VCB 15U A - Red Sox,Practice,05/13/2024 16:45:00,05/13/2024 18:30:00,a1tfkbidelem01h6cdn5o451q8
